,tweet_id,created_at,full_text,user_id,tweet_type,retweeted_id
0,1532424304582922240,Thu Jun 02 18:09:59 +0000 2022,“Depp’s core claim — women advance their careers by accusing powerful men of abuse — doesn’t even hold up to the evidence…Heard is ruined; Depp is in pre-production for his next role; other alleged abusers are already copying his legal strategy.” https://t.co/OPTMIJEXnl,1328862633869635584,Retweet,1532421281072746497
0,1532424303764979712,Thu Jun 02 18:09:59 +0000 2022,Illinois abortion: Pregnant minors seeking abortions no longer need to get parental consent | https://t.co/7a7O5pDOcW https://t.co/OTcHOBuYnL,1004400333035134977,Original Tweet,
0,1532424303634960384,Thu Jun 02 18:09:59 +0000 2022,@DSnapper55 @DrBrainMD @RoyalFlush322 @APazyryk @mtracey There’s a war in Africa. Why are we not sending them money and weapons? What’s the criteria?,1511709733446688779,Reply Tweet,
0,1532424303219593216,Thu Jun 02 18:09:59 +0000 2022,"America is really making a movie in response to Changjin Lake that CELEBRATES the carpet bombing and near total destruction of our country. Whats more, they're using liberal idpol via the story of a prominent african american air corps person to do it. Fuck this.",1454612239910989831,Retweet,1532356642192375813
0,1532424303140130816,Thu Jun 02 18:09:59 +0000 2022,"#GovernmentSoFar:
#Ghana today, stands as a benchmark for the African automotive industry, an example of what can be done when there is a will and a vision. https://t.co/wB9RVIGA5z",1485959657084657664,Retweet,1530119274718801925
0,1532424303068729345,Thu Jun 02 18:09:59 +0000 2022,"@artistofpeeps That's one psycho, angry man. He shouldn't be in any women's spaces.",20852703,Retweet,1532006956516290561
0,1532424303022686209,Thu Jun 02 18:09:59 +0000 2022,"Today is International Sex Workers' Day.

One of many things to celebrate is Sex Workers' long-standing, well-strategized anti-violence practices. 

Be like a Sex Worker: Believe survivors, support survivors, resist with survivors, rebuild with survivors. 

(Give predators zero.)",4154702240,Quote Tweet,
0,1532424302762643456,Thu Jun 02 18:09:59 +0000 2022,South Africa president Cyril Ramaphosa accused of kidnapping and bribery https://t.co/PkXrbcxRMs,106480312,Retweet,1532369221296046080
0,1532424302410272768,Thu Jun 02 18:09:59 +0000 2022,"""Disgraced attorney Michael Avenatti was sentenced to four years in prison Thursday for cheating his former client, adult film star Stormy Daniels, out of $300,000."" https://t.co/v3bmh67Hhf https://t.co/t9BuyQYP8f",148194549,Original Tweet,
0,1532424302393315329,Thu Jun 02 18:09:59 +0000 2022,"Pleased to receive phone call from Ambassador Raychelle Omamo, Cabinet Secretray for Foriegn Affairs of Kenya. 
- Kenya is 🇵🇰 #1 Export destination in Africa
- Discussed ways to expand bilateral cooperation in all areas; 
- Reaffirmed importance of enhancing economic cooperation",1438532453392687105,Retweet,1532298776051949570
0,1532424301990842372,Thu Jun 02 18:09:59 +0000 2022,@cameron_kasky @What46HasDone You are a bad American.,3114460615,Reply Tweet,
0,1532424301936267273,Thu Jun 02 18:09:59 +0000 2022,So not only is Amber trying to gaslight the whole world that she was abusive she now manages to get her fans to abuse themselves for her personal gain. Wild.,1530263906140229632,Original Tweet,
0,1532424301642665990,Thu Jun 02 18:09:59 +0000 2022,"ONCE AGAIN, I WAS RIGHT!

Now, believe me when I tell you that Ruto will only get 38.7%. After that, you shall never hear his name again. The next phase of Kenyan politics shall completely redefine politics in Africa, a turning point for the whole continent. Karibu sana Steve.",715514141730013184,Retweet,1532330749579382785
